Job Title,Rating,Size,Founded,Type of ownership,Industry,Sector,Hourly,Employer provided,Lower Salary,Upper Salary,Avg Salary(K),Job Location,Age,Python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,job_title_sim,seniority_by_title,Degree,Min_Salary,Max_Salary,Min_Revenue,Max_Revenue
Data Science Analyst,4.6,1001 - 5000 ,2002,Company - Private,Aerospace & Defense,Aerospace & Defense,0,0,41,95,68.0,AL,19,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,data scientist,na,na,41,95,100000000,500000000
Data Scientist,4.3,201 - 500 ,2011,Company - Private,Consulting,Business Services,0,0,84,146,115.0,NY,10,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,data scientist,na,na,84,146,10000000,25000000
Senior Risk Data Scientist,3.8,501 - 1000 ,2006,Company - Public,Financial Transaction Processing,Finance,0,0,107,172,139.5,CA,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M,107,172,50000000,100000000
Data Scientist in Artificial Intelligence Early Career,3.8,1001 - 5000 ,1965,Government,Energy,"Oil, Gas, Energy & Utilities",0,0,49,85,67.0,WA,56,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,data scientist,na,M,49,85,500000000,1000000000
Data Scientist,2.8,51 - 200 ,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,88,148,118.0,MA,15,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,P,88,148,1000000,5000000
Data Scientist,4.7,51 - 200 ,2003,Company - Private,Computer Hardware & Software,Information Technology,0,0,60,99,79.5,GA,18,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,data scientist,na,na,60,99,25000000,50000000
Data Scientist - Research,3.1,201 - 500 ,1999,Company - Public,Advertising & Marketing,Business Services,0,0,41,72,56.5,MA,22,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,data scientist,na,na,41,72,100000000,500000000
Data Scientist,3.2,1 - 50 ,-1,Company - Private,Staffing & Outsourcing,Business Services,0,0,96,161,128.5,PA,21,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,na,na,96,161,50000000,10000000
Scientist,2.7,501 - 1000 ,1978,Subsidiary or Business Segment,Research & Development,Business Services,0,0,50,102,76.0,MO,43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,P,50,102,50000000,100000000
Data Scientist SR,3.9,501 - 1000 ,2010,Company - Private,IT Services,Information Technology,0,0,85,139,112.0,VA,11,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,sr,M,85,139,100000000,500000000
Research Scientist,1.9,51 - 200 ,2000,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,57,118,87.5,MA,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,M,57,118,10000000,25000000
Data Scientist,3.3,1001 - 5000 ,2017,Company - Private,Aerospace & Defense,Aerospace & Defense,0,0,83,137,110.0,VA,4,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,data scientist,na,na,83,137,1000000000,2000000000
Data Scientist,4.4,10000+ ,1995,Company - Private,IT Services,Information Technology,0,0,86,141,113.5,CA,26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,86,141,500000000,1000000000
Data Scientist,3.9,51 - 200 ,2016,Company - Private,Health Care Services & Hospitals,Health Care,0,0,94,154,124.0,CA,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,94,154,1000000,5000000
Jr. Business Data Analyst,4.7,201 - 500 ,1997,Company - Private,Advertising & Marketing,Business Services,0,0,37,76,56.5,PA,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,analyst,jr,na,37,76,25000000,50000000
Data Analyst,4.3,51 - 200 ,2008,Company - Private,Computer Hardware & Software,Information Technology,0,0,55,100,77.5,IL,13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,analyst,na,na,55,100,10000000,25000000
Data Engineer,4.0,201 - 500 ,2002,Company - Private,Consulting,Business Services,0,0,60,114,87.0,VA,19,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,data engineer,na,na,60,114,50000000,100000000
Data Scientist,4.2,501 - 1000 ,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,64,107,85.5,FL,13,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,na,na,64,107,100000000,500000000
Data Management Specialist,4.5,51 - 200 ,1996,Company - Private,IT Services,Information Technology,0,0,31,65,48.0,AL,25,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,na,na,na,31,65,25000000,50000000
Sr. Scientist II,3.5,201 - 500 ,1990,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,117,231,174.0,CA,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,sr,M,117,231,100000000,500000000
Insurance Data Scientist,3.9,5001 - 10000 ,1968,Company - Public,Financial Analytics & Research,Finance,0,0,64,106,85.0,GA,53,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,64,106,1000000000,2000000000
Data Modeler,4.7,51 - 200 ,2003,Company - Private,IT Services,Information Technology,0,0,79,134,106.5,MD,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data modeler,na,na,79,134,10000000,25000000
Data Analyst / Scientist,4.2,1001 - 5000 ,1988,Company - Private,IT Services,Information Technology,0,0,52,93,72.5,MD,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,analyst,na,na,52,93,100000000,500000000
Scientist,3.4,10000+ ,1996,Subsidiary or Business Segment,IT Services,Information Technology,0,0,55,116,85.5,MD,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,M,55,116,10000000000,10000000000
Data Scientist,3.9,501 - 1000 ,2010,Company - Private,IT Services,Information Technology,0,0,74,124,99.0,VA,11,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,data scientist,na,na,74,124,100000000,500000000
Data Analyst,3.1,1001 - 5000 ,2001,Company - Private,Insurance Carriers,Insurance,0,0,40,73,56.5,WI,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,analyst,na,na,40,73,2000000000,5000000000
Data Engineer,3.9,1001 - 5000 ,1997,Company - Private,IT Services,Information Technology,0,0,68,123,95.5,NC,24,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,data engineer,na,M,68,123,100000000,500000000
Senior Data Scientist,3.3,10000+ ,1994,Company - Public,Transportation Equipment Manufacturing,Manufacturing,0,0,80,129,104.5,MI,27,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,data scientist,sr,M,80,129,5000000000,10000000000
